DOI,PubMed_ID,Year,Source_Title,Cell_Source,Recipient_Cell,Target_Protein,Max_Effect_Pct,Dose,Dose_Response_Curve_YN,Concentration_Range,ED50_or_IC50,Notes,Paper_Link
https://doi.org/10.1016/j.jddst.2022.103931,,2022,Journal of Drug Delivery Science and Technology,human fibroblast BJ cell line,MDA-MB-231 cells; MDA-MB-453 cells,PIK3CA; AKT; MTOR,,,N,,,,https://pdf.sciencedirectassets.com/311977/1-s2.0-S1773224722X00117/1-s2.0-S1773224722008425/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEMP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQC00Gn1sZH7RA0ZDtkUU26LMmQ0hT1C9uDi6Luvji%2F7WAIgW7BRjR7TPk0k%2BtF9Uxql6GvSbpOxVIven6VEv%2F%2F6dakqvAUIy%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDEY9bcnUFmNRUs7FqiqQBaivHC91VJ6rOgloct17H4ZQ9%2BZgm%2FBAv2%2BX1KJMT0xeVeQ1DcoeO8dngtP9a4TbA0m9KGPyd13PtiBPuBSZ4orh2im9C9EFi0wj4YbC6z7gtHSluD9Uuy1bGa3w5ttiOQ%2FgIlSOBXE7ka2DcOQh6NCqBvv0yRvq0u8d2rzCc136KXSS707hXEiE3gtg9kf13flk%2BWiNw%2Beg%2FApl7jF9GxYB7FaHiJJ4vPefu6uEd5eufqeDx%2FuPwzxOG4YuZZXd6ECfPRjk%2F31qAd%2Bsxn3k6ro1KGEo5T5K%2BBmqXi4Uns5Io3KDpvv4%2FIbJtKn9oARnMtJK%2BSDgNVr05DZ9J9QHy%2FaVYdNVPzk%2Fi7gANtVnJrXQFdN4skamRwtlxOhe7ynJgbySzylHO%2Bx3ioBtj51Fr3ndP12arnmOn2Kb0y1mzM5S5iz2JLVA4OkzsDwoUNrGqMqlCPvu3L3erkJ%2F1faU09tDk%2BkSsyKIY2l7I%2BPuH%2BsIMNESAs1H%2B8P8PNspwR1S1N9TCwj%2BME2d%2BZJnrlEOs%2FUcvqElHwaJ%2FdgZqUtQnk3Rsihyp8P%2FYiXQsOS77RMyXKFvlO7hryUewQzTb0GXGO3jy5hP5Z9I0%2Bxf9oA%2B9QCH4UlKq3PRel883sfgEBfaRdPhEBBnRMYnCjOiL3MLwoSpZk1JPSqwxkvgBLmo%2FvMuNt76BVPQKSu5KJDaLXve2ROlH3BmJYi6bci8l7g2kaTfabIu7Ga3ixH03YFnQ6vVuvvMTW2WYgqFTSBvK%2BNjox7b%2F0ERTJPDvvcPIpzX2YIQxOL2Dp9QzhyUT5bLhEVicqLsy0Pz94WvZmLHUR3xlgOPmU1yHadciwRCbsAYB3zFYMy2hSovWt%2BQ4cGkKtcFMPbjkqkGOrEB1fI2lwGL3d9IS8WMAskkl4tjSCRjhaQ62vcwVP52o%2FdmnrLuq9PndXNPrLVb7v8bTr1Lxo8DTzEQml16W2nUr%2FnvV9Ac0FJhgWbIllfdzr3dq7U6AVJDU7fqEih5Z5ymu%2BA1kr8gBnhGjlTFm9R5adkBD5uFR2As9ilVENsaZc76boYtmMbaohbklxFedKyY3BRGpXbi2TIitTC2pPItUCxuFPEEmYczwLFMdSonX%2FBM&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231010T025355Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4XZ6JLC4%2F20231010%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=5c6b23daaf2104b41fb12b30c59b9397a54839247cbc1f96d7fbdd77c2088f12&hash=52e105b4fbf2a8cc27b14b49be24f6c1d336ca77ebf832b3697dc6cb9d208caa&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1773224722008425&tid=spdf-3c8b2913-7378-4ce6-9efe-5942869ae926&sid=a3281bc77d14e345225998c70ad6456c848cgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f105b50550d57575257&rr=813b93658cdf081f&cc=us
https://doi.org/10.1016/j.biomaterials.2020.120369,,2021,Biomaterials,PANC-1 pancreatic cancer,PANC-1 cells,PAK4,,12nM Exo-siPAK4; 30 nM Exo-siPAK4; 12 nM Exo-siPAK4,N,,,,https://pdf.sciencedirectassets.com/271870/1-s2.0-S0142961220X00330/1-s2.0-S0142961220306153/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEMP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIHvThtUeIBrrtXn4tz8BiuXBKAOqQMP82QErBFuwMRLcAiAKZ71sL0gFMYT%2BGdpq9jCoC2SJ8ZUz9oWc50wGqunuKiq8BQjM%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIM6h5o02h83H4sG%2BBuKpAFgds%2BZ3a92j9UGw%2FRk6MU6GtB1YY%2BYlaZgaGuqa2iDq9tFOuLwmkvcUS6IdW2Jj%2F7DccWtBA%2FzkvsVeJ%2FXdzUqqxsHaSCkBgwg1ZRDJDDwe3ngorY8%2FHSWAfnihBmsO%2BL8J%2FdjLOPf90sDV5jzOQDS2HGfWFP7mpxBLhUUmsMU2hJf7kIOIDdu%2B7do%2FBpY2jiw9TzcsBXlMQgGMW96X5%2FdmHAr7%2FOxxvHbuDwZLE%2FExPn1YZjtxbcodXDN4ATfbYKEWcC7AUW30r3X9AtrGZCcf72ZZM9U1hhNPOkx3LmSkxPdy7%2FaDi7OC%2Fbqu0oc5GUK5HluOB36qUxYqKQhsJ53jf%2BXRpgwyz6BVyNLUfVAHC%2FGgS3rm%2FHaAKuBhdORQoAphGiEVsBSGVYabKUXb%2F3M2ig8gRGU7m%2FMp66YMaCnPErM2tSzzcNQp6HZKCfBSqze1kD7%2F7v8mcoDWD8JtC8gsXn6ggwfIQ35tgEXDoP6kBRIGZzZM039Ge%2BjsUL2y6iozO2oHwxXrvfUtcrszODRvWwhe%2F8BMyfpVx4kCmUC89rSQ3FRS%2BoAF%2FhsnzZq%2BtbTZ3SekGhcm7z6cHlj%2Ffm4VHi0HA9n%2FzP%2Bu8SfSKgqn%2Frjx2zGaXxpSorcNnq3OOAqHhCOvWEEybpJ1kQsKX%2B7bZ5o3hqSJTH1V4k%2Bizrin8HQy4kJnDbkcVz%2FaH8AB%2B6Q0eeX2BA1b6MdQ3IBWlQOC5%2FzPVnhda3n8S%2FseopbTcM7NZEg6frzccRKgzdTXLiMJN0yJKVfvL0w2wXHV%2FPlrr0Z8goO0Hki1qHei4ZPPg%2B2WLU1UyxACX8AA3uOlJ05CiY3v5fkwCohPjBtP9FRG9H2NJuOsYc%2BlwhrEWMGXswj%2BySqQY6sgHI2rLIXubpXSiXOBaXr2Ah%2BRLNC8imVXh%2FHoNwNoCCYRHkJZBy8Fi%2FSjbythbtUzdAYd566X%2FOfZdtdAhWjuGuaHpnGj5cp5VGHSVnZNybHJxWbCU%2F7EfxLZPrsDR%2FL7YT9cXQnAA15FP%2BT%2FjjKvL4QtpTJaBzbc%2BYAhAd2jCWfb7B6O5uv5Y%2BIcEhtdM9w68PGpd%2Fdk2hltfZPSb%2F%2B%2BH%2FTWLfMs24AHDJUxkcJMnb5aKI&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20231010T032843Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY2ZN7U2HL%2F20231010%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=acdfab3720b4f20da292761b4e1495576d224bc9cced4c13bcf8ab627c47b196&hash=69301f7d7cda3257d4167473187cae279169cc482d85029a0008d09833438d76&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0142961220306153&tid=spdf-eed41024-8113-4d97-9693-647304bea399&sid=a3281bc77d14e345225998c70ad6456c848cgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f105b50550d0d525107&rr=813bc65e8830b112&cc=us
https://doi.org/10.1002/adfm.202006515,,2020,Advanced Functional Materials,M1 macrophage,CT26 cells,PD-L1,,,N,,,,https://onlinelibrary.wiley.com/doi/10.1002/adfm.202006515
https://doi.org/10.1002/hep4.1311,,2019,Hepatology Communications,fat free milk,HepG2,BCAT; Cylinc-D1,,0.50ug/uL tMNV,Y,"5E8, 5E9, 5E10, 5E11 tMNV particles; 12.5nM, 25nM, 50nM, 100nM",22.58 nM,,https://aasldpubs.onlinelibrary.wiley.com/doi/epdf/10.1002/hep4.1311
https://doi.org/10.3390/genes11040351,,2020,Genes,A549 ,HAE,HPRT,,10ug,N,,,,https://www.mdpi.com/2073-4425/11/4/351
10.1038/nprot.2012.131,23154783,2012,Nature Protocols,BMDC,LucU20S,luciferase,,10ug,N,,,,https://www.nature.com/articles/nprot.2012.131
10.3892/ol.2018.9752,30675260,2019,Oncology Letters,HEK-293,FaDu cells,transient receptor potential polycystic 2 (TRPP2),45,,N,,,,https://www.spandidos-publications.com/10.3892/ol.2018.9752
10.1038/nbt.1807,21423189,2011,Nature Biotechnology,DC ,N2A; C2C12,GAPDH; BACE1,8.2; -3.2; 35.4; 61.33; -3.8; 64.1,,Y,"3 point (50, 100, 200 nM)",,,https://www.nature.com/articles/nbt.1807?..
10.1038/nature22341,28607485,2017,Nature,normal fibroblast-like mesenchymal cells,PANC-1 cells,p-ERK (siRNA); p-ERK (shRNA),92; 64.1,400 exo/cell; 24,N,,,,https://www.nature.com/articles/nature22341#Sec8
10.1371/journal.pgen.1003411,23555312,2013,PLoS Genetics,HEK293,FaDu cells,TRPP2 mRNA,44.82,,N,,,,https://www.proquest.com/docview/2174138954/fulltextPDF/8F800D16F22E4D0FPQ/1?accountid=14244
10.1016/j.archoralbio.2023.105753,37348363,2023,Archives of Oral Biology,Mouse Plasma Evs,Primary calvarial osteoblast-like cells,Fgfr2 S252W,,,N,20 pmol/well,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162177249&doi=10.1016%2fj.archoralbio.2023.105753&partnerID=40&md5=36b95fe405519cbee997e6fd50f0d102
10.1038/s41419-023-06159-3,37739958,2023,Cell Death and Disease,Mouse Plasma Evs,HUVEC,VEGFR2,,,Y,"4ug, 20 ug, 100 ug",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171832726&doi=10.1038%2fs41419-023-06159-3&partnerID=40&md5=467298ce530673956c114bccde328256
10.1038/s41565-024-01624-2,38480836,2024,Nature Nanotechnology,HMSC,Jurkat cells,PPIB,,,Y,ranging from 1 µM to 0.008 µM),135 nM; 3.7 nM; 56 nM; 46 nM,"Cholestrol; Divalent myristic acid; Interestingly, EVs performed better than LNPs when delivering both cholesterol-siRNA (Fig. 1.A. p=0.035) or di-ma-siRNA (Fig. 1.B., p<0.0001).",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187706045&doi=10.1038%2fs41565-024-01624-2&partnerID=40&md5=5e3e87b6759449c35de4398aeaf24278
10.1186/s12951-024-02414-7,38589859,2024,Journal of Nanobiotechnology, HEK293T,PC9 cells,LPCAT1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189755985&doi=10.1186%2fs12951-024-02414-7&partnerID=40&md5=53654205d13980a22fda78cc93717802
10.1016/j.bioactmat.2023.09.019,37965241,2023,Bioactive Materials, HEK293T,BMDM,Drp1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174847659&doi=10.1016%2fj.bioactmat.2023.09.019&partnerID=40&md5=ecaff3d3a51bd1fafbc2e0113951558a
10.1016/j.jconrel.2024.04.009,38582335,2024,Journal of Controlled Release,Expi293F cell,chondrocytes,MMP13,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189491668&doi=10.1016%2fj.jconrel.2024.04.009&partnerID=40&md5=f5b55a7e2e4ffec12cc73c545dc2ed6d
10.1186/s12967-023-04461-4,37737187,2023,Journal of Translational Medicine,Human umbilical cord-derived MSCs,MN9D cells,FTO,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171857368&doi=10.1186%2fs12967-023-04461-4&partnerID=40&md5=d9ae13215428f74716b27ebf5b0380b1
10.1186/s12951-024-02361-3,38468249,2024,Journal of Nanobiotechnology,induced mesenchymal stem cel,HFF-1; HMEC-1,Src,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187211333&doi=10.1186%2fs12951-024-02361-3&partnerID=40&md5=5f97f1024c5420bb368fbd10f4f277be
10.1186/s12951-024-02721-z,39044233,2024,Journal of Nanobiotechnology,milk exosomes,BEAS-2B,TGF-β1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199309997&doi=10.1186%2fs12951-024-02721-z&partnerID=40&md5=ba8aa34af38708f5a3f3179150fa7664
10.1038/s41598-023-30180-3,36813850,2023,Scientific Reports,Grapefruit,HaCaT cells,Luciferse,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148551357&doi=10.1038%2fs41598-023-30180-3&partnerID=40&md5=dafecf8036d1ce4d29463684b71ec093
10.1016/j.bioadv.2023.213643,37778291,2023,Biomaterials Advances, BJ cells,MDA-MD 231,MEK-1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172470820&doi=10.1016%2fj.bioadv.2023.213643&partnerID=40&md5=36badd77d9da3ccc45179cb99eae33ad
10.3390/ijms25010546,38203716,2023,International Journal of Molecular Sciences,Tangerine,SW480 cells,DDHD1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182100559&doi=10.3390%2fijms25010546&partnerID=40&md5=7bf4a92c84e63e0683c48a1b2968ea2e
10.1186/s12951-023-02173-x,37924132,2023,Journal of Nanobiotechnology,Milk ,J774A.1,GAPDH,,,N,0.004 and 0.01 nmol/mL,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175841627&doi=10.1186%2fs12951-023-02173-x&partnerID=40&md5=e9dee7449ddc1140982361deab9b83f5
10.1002/adtp.202300335,,2024,Advanced Therapeutics,CAF,CAF; J774A.1,RP11-161H23.5; GAPDH,,,N,0.05 and 0.03 nmol/mL,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182474407&doi=10.1002%2fadtp.202300335&partnerID=40&md5=39c6cfa066c2a98d8a12bd5e94b0a12f
10.1016/j.bioactmat.2023.12.010,38223538,2023,Bioactive Materials,Bovine milk,NCM460 cells,TNF Alpha,,,N,,,They did dose response (high and low) in vivo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180939466&doi=10.1016%2fj.bioactmat.2023.12.010&partnerID=40&md5=a8a209f6cf9ffd894cd6c98be5a2fd6c
10.1186/s12951-023-01766-w,36740689,2023,Journal of Nanobiotechnology,Kiwi EVs,PC9-GR4-AZD1,STAT3,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147391048&doi=10.1186%2fs12951-023-01766-w&partnerID=40&md5=78a2b3db0debf656ae639ec3a72c159e
10.1016/j.biopha.2024.116161,38244330,2024,Biomedicine and  Pharmacotherapy,RAW264. 7,RAW264.7,RIPK3,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182896235&doi=10.1016%2fj.biopha.2024.116161&partnerID=40&md5=38f2f21003594be79302aaf0133c17b0
10.1002/jev2.12371,37795828,2023,Journal of Extracellular Vesicles,Human Plasma,iPSC-vCM,NOX4,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173164526&doi=10.1002%2fjev2.12371&partnerID=40&md5=842d19c066d83b0ad1adc6a848f2614e
10.1186/s12935-023-02985-9,37525212,2023,Cancer Cell International,HEK293T,MGC-803,SALL4,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166228505&doi=10.1186%2fs12935-023-02985-9&partnerID=40&md5=c017e9a72c8ce379a6d420f029752dcb
10.1016/j.apsb.2024.04.010,39234613,2024,Advanced Therapeutics,Milk,CT26 cells; HEK293,PDL1; GFP,,,N,5 pmol and 20 pmol of siRNA,,They did dose response (high and low) in vivo,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192184554&doi=10.1016%2fj.apsb.2024.04.010&partnerID=40&md5=0722f55bf06fa71c98659bd2ec8442a9
10.1021/acsbiomaterials.4c00952,39150495,2024,ACS Biomaterials Science and Engineering,MC3T3-E1,K7M2,Hdac-1,,,N,,,They did dose reponse with only the siRNA and lipofectamine but not with Evs,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201456361&doi=10.1021%2facsbiomaterials.4c00952&partnerID=40&md5=384ee5b65a913dd1fcbc3dfe64c1e84e
10.1021/acsabm.3c01108,38630629,2024,ACS Applied Bio Materials,Herbs,MCF7,ERaP1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191031523&doi=10.1021%2facsabm.3c01108&partnerID=40&md5=a481db774e8f676ac7c38165968f2bac
10.1016/j.ijpharm.2024.124159,38701907,2024,International Journal of Pharmaceutics,Milk,RA FLS,TNF Alpha,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192215858&doi=10.1016%2fj.ijpharm.2024.124159&partnerID=40&md5=5536bacf60a75b8200ea1cc918a34ba8
10.1080/2162402X.2022.2152635,36605619,2022,Oncoimmunology,,,CD38,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145165598&doi=10.1080%2f2162402X.2022.2152635&partnerID=40&md5=eaf594a260cb4784ea3d5ae154e9902e
10.3390/cancers15112901,37296864,2023,Cancers,,"PANC, LS180, BxPC-3",KRASG12D,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162175861&doi=10.3390%2fcancers15112901&partnerID=40&md5=7f73ec094014adf5935fdad7354da059
10.1016/j.ymthe.2023.03.036,37016578,2023,Molecular Therapy,RBC,,Mstn,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152656069&doi=10.1016%2fj.ymthe.2023.03.036&partnerID=40&md5=1468dc68eba609bb83b7aa769c7b2e56
10.1016/j.bioactmat.2022.11.011,36474657,2022,Bioactive Materials,iNSC,,CCl2,,,N,,,in SI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142715587&doi=10.1016%2fj.bioactmat.2022.11.011&partnerID=40&md5=a0df1ba61f2eda003870e2dcca16d311
10.1007/s11060-023-04257-y,36854924,2023,Journal of Neurooncology,,SHG-44 cells,Galectin-9,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149019551&doi=10.1007%2fs11060-023-04257-y&partnerID=40&md5=2f85996e845ed6e7c6d9bd4764de0942
10.3389/fimmu.2023.1109381,36845116,2023,Frontiers in Immunology,,"RAW264.7 , epithelial cells",NFKB,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148608946&doi=10.3389%2ffimmu.2023.1109381&partnerID=40&md5=5e88e76918b3f5c511bc45fc21da28e1
10.2147/DDDT.S414758,37489176,2023,"Drug Design,  Development, and Therapy",DC,,BRAF,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165774969&doi=10.2147%2fDDDT.S414758&partnerID=40&md5=41ad7c5e839cb68d280da8300faa9fac
10.3390/genes14020261,36833188,2023,Cancers,,,,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148856059&doi=10.3390%2fgenes14020261&partnerID=40&md5=c51e4f6f861d2c7ebefefe052ec4bc1a
10.1002/adma.202204910,36484103,2023,Advanced Materials,,"MGC-803, HGC27",YTHDF1,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145281879&doi=10.1002%2fadma.202204910&partnerID=40&md5=fe715e1b47ab8a5f8b1b61cdce3b5db2
10.1021/acsnano.3c00668,37141393,2023,ACS Nano,,"HCT116r, LOVOr",CCDC80,,,N,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159586658&doi=10.1021%2facsnano.3c00668&partnerID=40&md5=879904b729c6d4009a7f047069e89fdd
